127.184.18.37 - - [04/Sep/2017:00:00:00 +0200] "GET /products/view/abc HTTP/1.1" 500 8922 "https://us.search.yahoo.com/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:54.0) Gecko/20100101 Firefox/54.0"
252.169.104.38 - - [04/Sep/2017:00:03:47 +0200] "GET /products/view/abc HTTP/1.1" 500 8922 "https://www.bing.com/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2439:665f:7516:137c:5cb3:be7f:d584:16ae - - [04/Sep/2017:00:07:34 +0200] "GET /products?sort=date&direction=desc HTTP/1.1" 200 8543 "https://www.google.com" "Safari/12603.3.8 CFNetwork/811.5.4 Darwin/16.7.0 (x86_64)"
2439:665f:7516:137c:5cb3:be7f:d584:16ae - - [04/Sep/2017:00:07:34 +0200] "GET /favicon.ico HTTP/1.1" 404 5787 "https://myweb.com/products?sort=date&direction=desc" "Safari/12603.3.8 CFNetwork/811.5.4 Darwin/16.7.0 (x86_64)"
2439:665f:7516:137c:5cb3:be7f:d584:16ae - - [04/Sep/2017:00:07:34 +0200] "GET /css/boostrap.min.css HTTP/1.1" 200 6803 "https://myweb.com/products?sort=date&direction=desc" "Safari/12603.3.8 CFNetwork/811.5.4 Darwin/16.7.0 (x86_64)"
2439:665f:7516:137c:5cb3:be7f:d584:16ae - - [04/Sep/2017:00:07:34 +0200] "GET /css/style.css HTTP/1.1" 200 7797 "https://myweb.com/products?sort=date&direction=desc" "Safari/12603.3.8 CFNetwork/811.5.4 Darwin/16.7.0 (x86_64)"
2439:665f:7516:137c:5cb3:be7f:d584:16ae - - [04/Sep/2017:00:07:34 +0200] "GET /js/bootstrap.min.js HTTP/1.1" 200 5313 "https://myweb.com/products?sort=date&direction=desc" "Safari/12603.3.8 CFNetwork/811.5.4 Darwin/16.7.0 (x86_64)"
2439:665f:7516:137c:5cb3:be7f:d584:16ae - - [04/Sep/2017:00:07:34 +0200] "GET /js/app.js HTTP/1.1" 200 5895 "https://myweb.com/products?sort=date&direction=desc" "Safari/12603.3.8 CFNetwork/811.5.4 Darwin/16.7.0 (x86_64)"
79.216.193.17 - - [04/Sep/2017:00:11:21 +0200] "GET /products/view/abc HTTP/1.1" 500 8922 "https://harris.com/index/" "Mozilla/5.0 (iPhone; CPU iPhone OS 10_0 like Mac OS X) AppleWebKit/602.1.38 (KHTML, like Gecko) Version/10.0 Mobile/14A300 Safari/602.1"
36.39.60.146 - - [04/Sep/2017:00:15:08 +0200] "GET /products/view/123 HTTP/1.1" 200 8206 "https://brown-davis.net/login/" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
36.39.60.146 - - [04/Sep/2017:00:15:08 +0200] "GET /favicon.ico HTTP/1.1" 404 5787 "https://myweb.com/products/view/123" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
36.39.60.146 - - [04/Sep/2017:00:15:08 +0200] "GET /css/boostrap.min.css HTTP/1.1" 200 6803 "https://myweb.com/products/view/123" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
36.39.60.146 - - [04/Sep/2017:00:15:08 +0200] "GET /css/style.css HTTP/1.1" 200 7797 "https://myweb.com/products/view/123" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
36.39.60.146 - - [04/Sep/2017:00:15:08 +0200] "GET /js/bootstrap.min.js HTTP/1.1" 200 5313 "https://myweb.com/products/view/123" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
36.39.60.146 - - [04/Sep/2017:00:15:08 +0200] "GET /js/app.js HTTP/1.1" 200 5895 "https://myweb.com/products/view/123" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
155.119.205.171 - - [04/Sep/2017:00:18:55 +0200] "GET / HTTP/1.1" 200 6555 "https://myweb.com/products/view/123" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
155.119.205.171 - - [04/Sep/2017:00:18:55 +0200] "GET /favicon.ico HTTP/1.1" 404 5787 "https://myweb.com/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
155.119.205.171 - - [04/Sep/2017:00:18:55 +0200] "GET /css/boostrap.min.css HTTP/1.1" 200 6803 "https://myweb.com/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
155.119.205.171 - - [04/Sep/2017:00:18:55 +0200] "GET /css/style.css HTTP/1.1" 200 7797 "https://myweb.com/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
155.119.205.171 - - [04/Sep/2017:00:18:55 +0200] "GET /js/bootstrap.min.js HTTP/1.1" 200 5313 "https://myweb.com/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
155.119.205.171 - - [04/Sep/2017:00:18:55 +0200] "GET /js/app.js HTTP/1.1" 200 5895 "https://myweb.com/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
3c47:ca67:82ec:c0d0:97f2:9b11:191:4cb0 - - [04/Sep/2017:00:22:42 +0200] "GET /products/view/abc HTTP/1.1" 500 8922 "https://www.bing.com/" "Safari/12603.3.8 CFNetwork/811.5.4 Darwin/16.7.0 (x86_64)"
73.93.157.1 - - [04/Sep/2017:00:26:29 +0200] "GET /products?sort=price&direction=asc HTTP/1.1" 200 6835 "https://myweb.com/products?sort=price&direction=asc" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
73.93.157.1 - - [04/Sep/2017:00:26:29 +0200] "GET /favicon.ico HTTP/1.1" 404 5787 "https://myweb.com/products?sort=price&direction=asc" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
73.93.157.1 - - [04/Sep/2017:00:26:29 +0200] "GET /css/boostrap.min.css HTTP/1.1" 200 6803 "https://myweb.com/products?sort=price&direction=asc" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
73.93.157.1 - - [04/Sep/2017:00:26:29 +0200] "GET /css/style.css HTTP/1.1" 200 7797 "https://myweb.com/products?sort=price&direction=asc" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
73.93.157.1 - - [04/Sep/2017:00:26:29 +0200] "GET /js/bootstrap.min.js HTTP/1.1" 200 5313 "https://myweb.com/products?sort=price&direction=asc" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
73.93.157.1 - - [04/Sep/2017:00:26:29 +0200] "GET /js/app.js HTTP/1.1" 200 5895 "https://myweb.com/products?sort=price&direction=asc" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
61.123.205.195 - - [04/Sep/2017:00:30:16 +0200] "GET / HTTP/1.1" 200 6555 "http://waters.net/categories/search/blog/privacy.jsp" "Safari/12603.3.8 CFNetwork/811.5.4 Darwin/16.7.0 (x86_64)"
61.123.205.195 - - [04/Sep/2017:00:30:16 +0200] "GET /favicon.ico HTTP/1.1" 404 5787 "https://myweb.com/" "Safari/12603.3.8 CFNetwork/811.5.4 Darwin/16.7.0 (x86_64)"
61.123.205.195 - - [04/Sep/2017:00:30:16 +0200] "GET /css/boostrap.min.css HTTP/1.1" 200 6803 "https://myweb.com/" "Safari/12603.3.8 CFNetwork/811.5.4 Darwin/16.7.0 (x86_64)"
61.123.205.195 - - [04/Sep/2017:00:30:16 +0200] "GET /css/style.css HTTP/1.1" 200 7797 "https://myweb.com/" "Safari/12603.3.8 CFNetwork/811.5.4 Darwin/16.7.0 (x86_64)"
61.123.205.195 - - [04/Sep/2017:00:30:16 +0200] "GET /js/bootstrap.min.js HTTP/1.1" 200 5313 "https://myweb.com/" "Safari/12603.3.8 CFNetwork/811.5.4 Darwin/16.7.0 (x86_64)"
61.123.205.195 - - [04/Sep/2017:00:30:16 +0200] "GET /js/app.js HTTP/1.1" 200 5895 "https://myweb.com/" "Safari/12603.3.8 CFNetwork/811.5.4 Darwin/16.7.0 (x86_64)"
129.154.213.67 - - [04/Sep/2017:00:34:03 +0200] "GET /products/view/123 HTTP/1.1" 200 8206 "https://www.bing.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 10_0 like Mac OS X) AppleWebKit/602.1.38 (KHTML, like Gecko) Version/10.0 Mobile/14A300 Safari/602.1"
129.154.213.67 - - [04/Sep/2017:00:34:03 +0200] "GET /favicon.ico HTTP/1.1" 404 5787 "https://myweb.com/products/view/123" "Mozilla/5.0 (iPhone; CPU iPhone OS 10_0 like Mac OS X) AppleWebKit/602.1.38 (KHTML, like Gecko) Version/10.0 Mobile/14A300 Safari/602.1"
129.154.213.67 - - [04/Sep/2017:00:34:03 +0200] "GET /css/boostrap.min.css HTTP/1.1" 200 6803 "https://myweb.com/products/view/123" "Mozilla/5.0 (iPhone; CPU iPhone OS 10_0 like Mac OS X) AppleWebKit/602.1.38 (KHTML, like Gecko) Version/10.0 Mobile/14A300 Safari/602.1"
129.154.213.67 - - [04/Sep/2017:00:34:03 +0200] "GET /css/style.css HTTP/1.1" 200 7797 "https://myweb.com/products/view/123" "Mozilla/5.0 (iPhone; CPU iPhone OS 10_0 like Mac OS X) AppleWebKit/602.1.38 (KHTML, like Gecko) Version/10.0 Mobile/14A300 Safari/602.1"
129.154.213.67 - - [04/Sep/2017:00:34:03 +0200] "GET /js/bootstrap.min.js HTTP/1.1" 200 5313 "https://myweb.com/products/view/123" "Mozilla/5.0 (iPhone; CPU iPhone OS 10_0 like Mac OS X) AppleWebKit/602.1.38 (KHTML, like Gecko) Version/10.0 Mobile/14A300 Safari/602.1"
129.154.213.67 - - [04/Sep/2017:00:34:03 +0200] "GET /js/app.js HTTP/1.1" 200 5895 "https://myweb.com/products/view/123" "Mozilla/5.0 (iPhone; CPU iPhone OS 10_0 like Mac OS X) AppleWebKit/602.1.38 (KHTML, like Gecko) Version/10.0 Mobile/14A300 Safari/602.1"
4.99.6.223 - - [04/Sep/2017:00:37:50 +0200] "GET /products HTTP/1.1" 200 9229 "https://beck.com/posts/app/tag/register/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36"
4.99.6.223 - - [04/Sep/2017:00:37:50 +0200] "GET /favicon.ico HTTP/1.1" 404 5787 "https://myweb.com/products" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36"
4.99.6.223 - - [04/Sep/2017:00:37:50 +0200] "GET /css/boostrap.min.css HTTP/1.1" 200 6803 "https://myweb.com/products" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36"
4.99.6.223 - - [04/Sep/2017:00:37:50 +0200] "GET /css/style.css HTTP/1.1" 200 7797 "https://myweb.com/products" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36"
4.99.6.223 - - [04/Sep/2017:00:37:50 +0200] "GET /js/bootstrap.min.js HTTP/1.1" 200 5313 "https://myweb.com/products" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36"
4.99.6.223 - - [04/Sep/2017:00:37:50 +0200] "GET /js/app.js HTTP/1.1" 200 5895 "https://myweb.com/products" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36"
188.147.50.22 - - [04/Sep/2017:00:41:37 +0200] "GET / HTTP/1.1" 200 6555 "https://myweb.com/products" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
188.147.50.22 - - [04/Sep/2017:00:41:37 +0200] "GET /favicon.ico HTTP/1.1" 404 5787 "https://myweb.com/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
188.147.50.22 - - [04/Sep/2017:00:41:37 +0200] "GET /css/boostrap.min.css HTTP/1.1" 200 6803 "https://myweb.com/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
188.147.50.22 - - [04/Sep/2017:00:41:37 +0200] "GET /css/style.css HTTP/1.1" 200 7797 "https://myweb.com/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
188.147.50.22 - - [04/Sep/2017:00:41:37 +0200] "GET /js/bootstrap.min.js HTTP/1.1" 200 5313 "https://myweb.com/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
188.147.50.22 - - [04/Sep/2017:00:41:37 +0200] "GET /js/app.js HTTP/1.1" 200 5895 "https://myweb.com/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
112.96.214.187 - - [04/Sep/2017:00:45:24 +0200] "GET /products/view/abc HTTP/1.1" 500 8922 "https://harris.com/index/" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.34 (KHTML, like Gecko) Version/11.0 Mobile/15A5341f Safari/604.1"
90.212.163.31 - - [04/Sep/2017:00:49:11 +0200] "GET /products/view/124 HTTP/1.1" 404 5618 "https://myweb.com/products/view/abc" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
10.212.79.53 - - [04/Sep/2017:00:52:58 +0200] "GET / HTTP/1.1" 200 6555 "https://myweb.com/products?sort=price&direction=asc" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:54.0) Gecko/20100101 Firefox/54.0"
